"","x"
"1","AADAT; OIT3"
"2","AAGAB; CCBE1"
"3","AAGAB; CHRM2"
"4","AAGAB; COPS5"
"5","AAGAB; FOS"
"6","AAGAB; KCNN2"
"7","AAGAB; NAA20"
"8","AAGAB; TMCO1"
"9","AAK1; CRELD1"
"10","AAK1; CRHBP"
"11","AAK1; EGR1"
"12","AAK1; EPB41L4B"
"13","AAK1; GPATCH3"
"14","AAK1; HOGA1"
"15","AAK1; IRF3"
"16","AAK1; MLEC"
"17","AAK1; NTF3"
"18","AAK1; PLVAP"
"19","AAK1; PPIB"
"20","AAK1; QARS"
"21","AAK1; RRP1"
"22","AAK1; SLC26A6"
"23","AAK1; TAF10"
"24","AAK1; TMEM199"
"25","AAK1; TOMM40L"
"26","AAMP; ACSM5"
"27","AAMP; ALDH6A1"
"28","AAMP; C1R"
"29","AAMP; C8A"
"30","AAMP; CCBE1"
"31","AAMP; CCDC107"
"32","AAMP; CLEC1B"
"33","AAMP; CPEB3"
"34","AAMP; CRHBP"
"35","AAMP; CXCL12"
"36","AAMP; CYB5R1"
"37","AAMP; CYP26A1"
"38","AAMP; DBH"
"39","AAMP; DCN"
"40","AAMP; DNASE1L3"
"41","AAMP; EHD3"
"42","AAMP; EPHX2"
"43","AAMP; FOSB"
"44","AAMP; GPAA1"
"45","AAMP; HAO1"
"46","AAMP; HMGCL"
"47","AAMP; MASP1"
"48","AAMP; MAST3"
"49","AAMP; MOGAT2"
"50","AAMP; MRPL53"
"51","AAMP; N4BP2L1"
"52","AAMP; NDRG2"
"53","AAMP; NDST3"
"54","AAMP; OIT3"
"55","AAMP; PEX2"
"56","AAMP; PPP2R5A"
"57","AAMP; PTH1R"
"58","AAMP; RNF125"
"59","AAMP; RRNAD1"
"60","AAMP; SERPINA11"
"61","AAMP; SHARPIN"
"62","AAMP; SLC35B1"
"63","AAMP; TDO2"
"64","AAMP; TRIB1"
"65","AAMP; TSLP"
"66","AAMP; VIPR1"
"67","AARS; C15orf61"
"68","AARS; C1R"
"69","AARS; CCDC107"
"70","AARS; CLEC1B"
"71","AARS; CXCL12"
"72","AARS; DNASE1L3"
"73","AARS; DOCK6"
"74","AARS; FOS"
"75","AARS; GPM6A"
"76","AARS; IMMP1L"
"77","AARS; LIFR"
"78","AARS; MRPL22"
"79","AARS; NCKIPSD"
"80","AARS; OIT3"
"81","AARS; ORM1"
"82","AARS; POLRMT"
"83","AARS; PXMP4"
"84","AARS; RRP1"
"85","AARS; SEMA3F"
"86","AARS; STEAP3"
"87","AARS; TDO2"
"88","AARS; VMAC"
"89","AARS; YIPF3"
"90","AARS2; ALDH6A1"
"91","AARS2; CCBE1"
"92","AARS2; CDC37L1"
"93","AARS2; CXCL12"
"94","AARS2; DBH"
"95","AARS2; EHD3"
"96","AARS2; LIFR"
"97","AARS2; MASP1"
"98","AARS2; OXA1L"
"99","AARS2; RASGEF1B"
"100","AARS2; VIPR1"
"101","AARSD1; ADRA2B"
"102","AARSD1; ALDH2"
"103","AARSD1; C1R"
"104","AARSD1; C8orf76"
"105","AARSD1; CCBE1"
"106","AARSD1; CCDC107"
"107","AARSD1; CCL23"
"108","AARSD1; COLEC10"
"109","AARSD1; CXCL12"
"110","AARSD1; DCN"
"111","AARSD1; FGB"
"112","AARSD1; GPM6A"
"113","AARSD1; IGFALS"
"114","AARSD1; IL1RL1"
"115","AARSD1; INMT"
"116","AARSD1; KEAP1"
"117","AARSD1; LIFR"
"118","AARSD1; MARCO"
"119","AARSD1; MASP1"
"120","AARSD1; N4BP2L1"
"121","AARSD1; NDST3"
"122","AARSD1; NKAP"
"123","AARSD1; OIT3"
"124","AARSD1; PLVAP"
"125","AARSD1; PTH1R"
"126","AARSD1; RGS12"
"127","AARSD1; RPTOR"
"128","AARSD1; SLC25A3"
"129","AARSD1; TMEM81"
"130","AARSD1; VAC14"
"131","AARSD1; VIPR1"
"132","AATF; C1R"
"133","AATF; CCBE1"
"134","AATF; CFP"
"135","AATF; CHRM2"
"136","AATF; CLEC1B"
"137","AATF; CSRNP1"
"138","AATF; CXCL12"
"139","AATF; CXorf36"
"140","AATF; DBH"
"141","AATF; DHODH"
"142","AATF; DNASE1L3"
"143","AATF; DOCK6"
"144","AATF; FOSB"
"145","AATF; GADD45B"
"146","AATF; GPM6A"
"147","AATF; LIFR"
"148","AATF; MARCO"
"149","AATF; OIT3"
"150","AATF; ORM1"
"151","AATF; PHLDA1"
"152","AATF; RNF125"
"153","AATF; STAB2"
"154","AATF; TMEM26"
"155","AATF; ZFP36"
"156","ABAT; C21orf91"
"157","ABAT; CCDC142"
"158","ABAT; CRTC2"
"159","ABAT; DDB1"
"160","ABAT; EHD3"
"161","ABAT; EHMT2"
"162","ABAT; FAM189B"
"163","ABAT; FBP1"
"164","ABAT; GADD45B"
"165","ABAT; KIAA0100"
"166","ABAT; MAVS"
"167","ABAT; MLEC"
"168","ABAT; NDST3"
"169","ABAT; NSF"
"170","ABAT; OXA1L"
"171","ABAT; PCK1"
"172","ABAT; POLL"
"173","ABAT; PTGES3"
"174","ABAT; RND3"
"175","ABAT; RRP15"
"176","ABAT; RUFY1"
"177","ABAT; SAP130"
"178","ABAT; TMEM183A"
"179","ABAT; TRIB1"
"180","ABAT; TRMT2A"
"181","ABAT; TTC9C"
"182","ABAT; TUBE1"
"183","ABAT; ZFP36"
"184","ABAT; ZNF740"
"185","ABCB10; EPHX2"
"186","ABCB10; LIFR"
"187","ABCB10; LMAN2"
"188","ABCB10; MRPL53"
"189","ABCB10; NOMO1"
"190","ABCB10; NTF3"
"191","ABCB10; RRNAD1"
"192","ABCB10; UROC1"
"193","ABCB10; VIPR1"
"194","ABCB10; ZFP36"
"195","ABCB8; AFM"
"196","ABCB8; ATG12"
"197","ABCB8; BCKDHB"
"198","ABCB8; BPGM"
"199","ABCB8; C15orf40"
"200","ABCB8; C2orf76"
"201","ABCB8; DEDD"
"202","ABCB8; DNAJB11"
"203","ABCB8; ETFDH"
"204","ABCB8; GMPPB"
"205","ABCB8; MARK4"
"206","ABCB8; MED24"
"207","ABCB8; MEPCE"
"208","ABCB8; NAT10"
"209","ABCB8; NTF3"
"210","ABCB8; PCGF1"
"211","ABCB8; PTBP1"
"212","ABCB8; RNF10"
"213","ABCB8; RPN2"
"214","ABCB8; RUFY1"
"215","ABCB8; SLC35A4"
"216","ABCB8; TCOF1"
"217","ABCB8; VPS33A"
"218","ABCB8; VPS33B"
"219","ABCC10; ABAT"
"220","ABCC10; ADCK1"
"221","ABCC10; AFM"
"222","ABCC10; ALG1"
"223","ABCC10; BAP1"
"224","ABCC10; CCBE1"
"225","ABCC10; CCDC107"
"226","ABCC10; CRELD1"
"227","ABCC10; CXorf36"
"228","ABCC10; DBH"
"229","ABCC10; DCN"
"230","ABCC10; DRAP1"
"231","ABCC10; IL1RAP"
"232","ABCC10; IL1RN"
"233","ABCC10; LIFR"
"234","ABCC10; MRPL53"
"235","ABCC10; NAGPA"
"236","ABCC10; NCKIPSD"
"237","ABCC10; NSMCE2"
"238","ABCC10; PTCD1"
"239","ABCC10; PVALB"
"240","ABCC10; RRNAD1"
"241","ABCC10; TMEM199"
"242","ABCC10; TSC2"
"243","ABCC10; TTC1"
"244","ABCC5; DCAF8"
"245","ABCC5; DCN"
"246","ABCC5; IL1RAP"
"247","ABCC5; ISCA2"
"248","ABCC5; NCLN"
"249","ABCC5; PTH1R"
"250","ABCC5; ZBTB22"
"251","ABCD1; ALDH6A1"
"252","ABCD1; C15orf61"
"253","ABCD1; C1R"
"254","ABCD1; CAMLG"
"255","ABCD1; CHCHD4"
"256","ABCD1; CRELD1"
"257","ABCD1; CXCL12"
"258","ABCD1; DBH"
"259","ABCD1; DHPS"
"260","ABCD1; DNASE1L3"
"261","ABCD1; EHD3"
"262","ABCD1; GPANK1"
"263","ABCD1; GPR137"
"264","ABCD1; GPR182"
"265","ABCD1; HSPA4"
"266","ABCD1; IL1RAP"
"267","ABCD1; ISCA2"
"268","ABCD1; KEAP1"
"269","ABCD1; LMAN2"
"270","ABCD1; MASP1"
"271","ABCD1; METTL2B"
"272","ABCD1; MFSD2A"
"273","ABCD1; MLEC"
"274","ABCD1; MRPL53"
"275","ABCD1; NDRG2"
"276","ABCD1; NDST3"
"277","ABCD1; OIT3"
"278","ABCD1; OXA1L"
"279","ABCD1; PPIB"
"280","ABCD1; PTH1R"
"281","ABCD1; RABGGTA"
"282","ABCD1; RASGEF1B"
"283","ABCD1; RING1"
"284","ABCD1; RPL26L1"
"285","ABCD1; RXRB"
"286","ABCD1; SKP1"
"287","ABCD1; SLC25A3"
"288","ABCD1; TRIB1"
"289","ABCD1; TTC1"
"290","ABCD1; UROC1"
"291","ABCD1; YIPF3"
"292","ABCD1; ZBTB22"
"293","ABCF2; CLEC4M"
"294","ABCF2; NDST3"
"295","ABCF2; OIT3"
"296","ABCF3; ACSM5"
"297","ABCF3; ADAMTS13"
"298","ABCF3; CCL23"
"299","ABCF3; CLEC1B"
"300","ABCF3; CRHBP"
"301","ABCF3; FOS"
"302","ABCF3; OIT3"
"303","ABCF3; PTH1R"
"304","ABCF3; SERPINA11"
"305","ABCF3; TMEM26"
"306","ABCF3; VIPR1"
"307","ABHD12; ALG1"
"308","ABHD12; KCNN2"
"309","ABHD12; RPTOR"
"310","ABHD16A; ADCK1"
"311","ABHD16A; BOLA3"
"312","ABHD16A; CCBE1"
"313","ABHD16A; CCDC107"
"314","ABHD16A; CCDC159"
"315","ABHD16A; CHCHD4"
"316","ABHD16A; CMC1"
"317","ABHD16A; CPSF1"
"318","ABHD16A; CTSA"
"319","ABHD16A; DRAP1"
"320","ABHD16A; ECM1"
"321","ABHD16A; EHD3"
"322","ABHD16A; GPR137"
"323","ABHD16A; GPR182"
"324","ABHD16A; HM13"
"325","ABHD16A; IL1RAP"
"326","ABHD16A; IRF3"
"327","ABHD16A; ISCA2"
"328","ABHD16A; KEAP1"
"329","ABHD16A; LIFR"
"330","ABHD16A; LMAN2"
"331","ABHD16A; MFSD2A"
"332","ABHD16A; MRPL53"
"333","ABHD16A; NCLN"
"334","ABHD16A; NTPCR"
"335","ABHD16A; POLR2K"
"336","ABHD16A; PPIB"
"337","ABHD16A; PSMC4"
"338","ABHD16A; RABGGTA"
"339","ABHD16A; RPL26L1"
"340","ABHD16A; RPUSD2"
"341","ABHD16A; SKP1"
"342","ABHD16A; SLC25A3"
"343","ABHD16A; STOML1"
"344","ABHD16A; TAF10"
"345","ABHD16A; TMEM9"
"346","ABHD16A; TOMM40L"
"347","ABHD16A; TTC1"
"348","ABHD16A; UROC1"
"349","ABHD16A; USF1"
"350","ABHD16A; VAC14"
"351","ABHD4; ALG3"
"352","ABHD4; ARV1"
"353","ABHD4; ATG12"
"354","ABHD4; CAMLG"
"355","ABHD4; CCBE1"
"356","ABHD4; CD4"
"357","ABHD4; CLPTM1"
"358","ABHD4; CXCL12"
"359","ABHD4; DOCK6"
"360","ABHD4; DRAP1"
"361","ABHD4; EGR1"
"362","ABHD4; FOS"
"363","ABHD4; LMAN2"
"364","ABHD4; MRPL22"
"365","ABHD4; NAAA"
"366","ABHD4; PLOD3"
"367","ABHD4; PTCD1"
"368","ABHD4; PXMP4"
"369","ABHD4; QARS"
"370","ABHD4; TMEM199"
"371","ABHD4; TOMM40L"
"372","ABHD4; TRIM39"
"373","ABHD4; UBA5"
"374","ABHD4; ULK3"
"375","ABHD4; YIPF3"
"376","ABI1; C1R"
"377","ABI1; C8orf76"
"378","ABI1; CCBE1"
"379","ABI1; CCDC107"
"380","ABI1; CCDC159"
"381","ABI1; CHRM2"
"382","ABI1; CMC1"
"383","ABI1; COLEC10"
"384","ABI1; COMMD5"
"385","ABI1; COPS5"
"386","ABI1; CRELD1"
"387","ABI1; CRHBP"
"388","ABI1; CXCL12"
"389","ABI1; DUSP6"
"390","ABI1; EIF2B4"
"391","ABI1; GPATCH3"
"392","ABI1; GPM6A"
"393","ABI1; HM13"
"394","ABI1; IGFALS"
"395","ABI1; IRF3"
"396","ABI1; KCNN2"
"397","ABI1; MARCO"
"398","ABI1; MASP1"
"399","ABI1; MRPL22"
"400","ABI1; MRPS21"
"401","ABI1; NDST3"
"402","ABI1; OIT3"
"403","ABI1; OXA1L"
"404","ABI1; PHLDA1"
"405","ABI1; PSMC4"
"406","ABI1; PTCD1"
"407","ABI1; QARS"
"408","ABI1; RASGEF1B"
"409","ABI1; RING1"
"410","ABI1; RPL26L1"
"411","ABI1; SLC26A6"
"412","ABI1; TAF10"
"413","ABI1; TDO2"
"414","ABI1; TMED9"
"415","ABI1; TMEM199"
"416","ABI1; TOMM40L"
"417","ABI1; TRIB1"
"418","ABI1; TTC1"
"419","ABI1; USF1"
"420","ABI1; ZMAT2"
"421","ABL1; ALG1"
"422","ABL1; ALG8"
"423","ABL1; ATG12"
"424","ABL1; C1R"
"425","ABL1; C21orf91"
"426","ABL1; CCDC107"
"427","ABL1; CHCHD4"
"428","ABL1; COMMD5"
"429","ABL1; COPS5"
"430","ABL1; CRELD1"
"431","ABL1; EIF2B4"
"432","ABL1; FOSB"
"433","ABL1; GADD45B"
"434","ABL1; GMPPB"
"435","ABL1; GPANK1"
"436","ABL1; GPATCH3"
"437","ABL1; HEXB"
"438","ABL1; IL1RAP"
"439","ABL1; MASP1"
"440","ABL1; MEPCE"
"441","ABL1; NAGPA"
"442","ABL1; OXA1L"
"443","ABL1; PPIB"
"444","ABL1; PSMC2"
"445","ABL1; PSMC4"
"446","ABL1; PTCD1"
"447","ABL1; RABGGTA"
"448","ABL1; RING1"
"449","ABL1; RPL26L1"
"450","ABL1; RPUSD2"
"451","ABL1; SKP1"
"452","ABL1; SLC25A3"
"453","ABL1; SLC26A6"
"454","ABL1; SOCS2"
"455","ABL1; TAF10"
"456","ABL1; TDO2"
"457","ABL1; TMEM199"
"458","ABL1; YIPF3"
"459","ABL2; ADCK1"
"460","ABL2; ANGPTL6"
"461","ABL2; APOF"
"462","ABL2; ARPC1A"
"463","ABL2; CHCHD4"
"464","ABL2; CHRM2"
"465","ABL2; CLEC4M"
"466","ABL2; COL6A6"
"467","ABL2; COLEC10"
"468","ABL2; CRELD1"
"469","ABL2; CSRNP1"
"470","ABL2; EIF2B4"
"471","ABL2; GADD45B"
"472","ABL2; IRF3"
"473","ABL2; MCC"
"474","ABL2; N4BP2L1"
"475","ABL2; NOMO1"
"476","ABL2; OIT3"
"477","ABL2; PALM2"
"478","ABL2; PEX11B"
"479","ABL2; PTH1R"
"480","ABL2; RASGEF1B"
"481","ABL2; RNF125"
"482","ABL2; RPTOR"
"483","ABL2; RRNAD1"
"484","ABL2; SLC25A39"
"485","ABL2; SLC38A2"
"486","ABL2; SLC39A14"
"487","ABL2; SNAP47"
"488","ABL2; STEAP3"
"489","ABL2; TMEM199"
"490","ABL2; TMEM9"
"491","ABL2; TSLP"
"492","ACAA1; OIT3"
"493","ACAA2; ABAT"
"494","ACAA2; CHRM2"
"495","ACAA2; CRELD1"
"496","ACAA2; CXCL12"
"497","ACAA2; CYP2B6"
"498","ACAA2; DCN"
"499","ACAA2; GMPPA"
"500","ACAA2; KBTBD11"
"501","ACAA2; MARCO"
"502","ACAA2; NCLN"
"503","ACAA2; PSMC2"
"504","ACAA2; RXRB"
"505","ACAA2; SERPINA11"
"506","ACAA2; STEAP3"
"507","ACACA; CALR"
"508","ACACA; CCBE1"
"509","ACACA; CHCHD4"
"510","ACACA; CHRM2"
"511","ACACA; COL6A6"
"512","ACACA; COLEC10"
"513","ACACA; CRHBP"
"514","ACACA; CSNK1D"
"515","ACACA; CXCL12"
"516","ACACA; DACH1"
"517","ACACA; DBH"
"518","ACACA; DCN"
"519","ACACA; EHD3"
"520","ACACA; EPHX2"
"521","ACACA; FOSB"
"522","ACACA; HAO1"
"523","ACACA; LIFR"
"524","ACACA; MEPCE"
"525","ACACA; METTL2B"
"526","ACACA; MFSD2A"
"527","ACACA; NHP2"
"528","ACACA; PTBP1"
"529","ACACA; STEAP3"
"530","ACACA; STOML1"
"531","ACACA; TOMM40L"
"532","ACACA; TRIM39"
"533","ACACA; TRMT112"
"534","ACAD11; ABCB8"
"535","ACAD11; CDH13"
"536","ACAD11; COPS5"
"537","ACAD11; PLVAP"
"538","ACAD11; SEMA3F"
"539","ACAD11; SLC38A2"
"540","ACAD9; CLEC1B"
"541","ACAD9; DOCK6"
"542","ACAD9; OIT3"
"543","ACADSB; EGR1"
"544","ACADSB; EHD3"
"545","ACADSB; STAB2"
"546","ACAP3; CCDC107"
"547","ACAP3; CMC1"
"548","ACAP3; EHD3"
"549","ACAP3; GPR182"
"550","ACAP3; IL1RAP"
"551","ACAP3; KCNN2"
"552","ACAP3; KEAP1"
"553","ACAP3; NDRG2"
"554","ACAP3; PEX2"
"555","ACAP3; PVALB"
"556","ACAP3; SEMA3F"
"557","ACAP3; SLC25A3"
"558","ACAP3; SLC35B1"
"559","ACAT1; ALB"
"560","ACAT1; MLEC"
"561","ACBD3; BAP1"
"562","ACBD3; BCO2"
"563","ACBD3; CCBE1"
"564","ACBD3; CRELD1"
"565","ACBD3; CYB5R1"
"566","ACBD3; CYP2B6"
"567","ACBD3; EGR1"
"568","ACBD3; GADD45B"
"569","ACBD3; GPANK1"
"570","ACBD3; IL1RL1"
"571","ACBD3; IPO9"
"572","ACBD3; IRF3"
"573","ACBD3; MEF2D"
"574","ACBD3; MLEC"
"575","ACBD3; PALM2"
"576","ACBD3; PBLD"
"577","ACBD3; PEX11B"
"578","ACBD3; PHLDA1"
"579","ACBD3; POLR2K"
"580","ACBD3; PSMC4"
"581","ACBD3; RND3"
"582","ACBD3; RRNAD1"
"583","ACBD3; RRP1"
"584","ACBD3; SLC39A14"
"585","ACBD3; SUV39H1"
"586","ACBD3; TMEM9"
"587","ACBD3; TSC2"
"588","ACBD3; TSLP"
"589","ACBD6; C1R"
"590","ACBD6; CHRM2"
"591","ACBD6; FOSB"
"592","ACBD6; GPM6A"
"593","ACBD6; MASP1"
"594","ACBD6; ZFP36"
"595","ACD; ADAMTS13"
"596","ACD; ADRA2B"
"597","ACD; ALG8"
"598","ACD; ANGPTL6"
"599","ACD; C1R"
"600","ACD; CCBE1"
"601","ACD; CCDC107"
"602","ACD; CCDC159"
"603","ACD; CLEC1B"
"604","ACD; CLEC4M"
"605","ACD; COL6A6"
"606","ACD; COLEC10"
"607","ACD; CXCL12"
"608","ACD; CXorf36"
"609","ACD; CYB5R1"
"610","ACD; CYP26A1"
"611","ACD; DACH1"
"612","ACD; DBH"
"613","ACD; DCAF8"
"614","ACD; DCN"
"615","ACD; DNASE1L3"
"616","ACD; EPHA2"
"617","ACD; GPM6A"
"618","ACD; HIGD1B"
"619","ACD; HMGCL"
"620","ACD; MASP1"
"621","ACD; N4BP2L1"
"622","ACD; OIT3"
"623","ACD; PEX11B"
"624","ACD; PEX2"
"625","ACD; PLVAP"
"626","ACD; PPP2R5A"
"627","ACD; PTH1R"
"628","ACD; RXRB"
"629","ACD; SLC39A14"
"630","ACD; TOMM40L"
"631","ACD; TRIM39"
"632","ACD; ULK3"
"633","ACD; VIPR1"
"634","ACD; YIPF3"
"635","ACIN1; ABAT"
"636","ACIN1; ADRA2B"
"637","ACIN1; ALG1"
"638","ACIN1; C8B"
"639","ACIN1; C9"
"640","ACIN1; CAMLG"
"641","ACIN1; CCDC107"
"642","ACIN1; CCDC159"
"643","ACIN1; CHRM2"
"644","ACIN1; COPS5"
"645","ACIN1; CXCL12"
"646","ACIN1; CXorf36"
"647","ACIN1; DCN"
"648","ACIN1; FGB"
"649","ACIN1; GPANK1"
"650","ACIN1; IGFALS"
"651","ACIN1; IL1RAP"
"652","ACIN1; LIFR"
"653","ACIN1; MEPCE"
"654","ACIN1; MLEC"
"655","ACIN1; N4BP2L1"
"656","ACIN1; NHP2"
"657","ACIN1; NSMCE2"
"658","ACIN1; PLVAP"
"659","ACIN1; PPP2R5A"
"660","ACIN1; PSMC2"
"661","ACIN1; PTH1R"
"662","ACIN1; PVALB"
"663","ACIN1; RPL26L1"
"664","ACIN1; SHARPIN"
"665","ACIN1; SKP1"
"666","ACIN1; STOML1"
"667","ACIN1; TMEM199"
"668","ACIN1; TRIB1"
"669","ACIN1; TSLP"
"670","ACIN1; TTC1"
"671","ACIN1; YIPF3"
"672","ACLY; CCBE1"
"673","ACLY; CCDC107"
"674","ACLY; CCDC159"
"675","ACLY; CRHBP"
"676","ACLY; CXCL12"
"677","ACLY; DBH"
"678","ACLY; DCN"
"679","ACLY; EGR2"
"680","ACLY; GPM6A"
"681","ACLY; HAO1"
"682","ACLY; IGFALS"
"683","ACLY; IL1RAP"
"684","ACLY; INMT"
"685","ACLY; LIFR"
"686","ACLY; MAG"
"687","ACLY; MASP1"
"688","ACLY; MCC"
"689","ACLY; MPV17L2"
"690","ACLY; MRPL53"
"691","ACLY; NCKIPSD"
"692","ACLY; POLRMT"
"693","ACLY; PPIB"
"694","ACLY; SLC39A14"
"695","ACLY; STX10"
"696","ACLY; TMEM81"
"697","ACLY; TRIB1"
"698","ACLY; TTC1"
"699","ACLY; ZFP36"
"700","ACOT8; ADRA2B"
"701","ACOT8; ATG12"
"702","ACOT8; CLEC1B"
"703","ACOT8; CXCL12"
"704","ACOT8; CYP2B6"
"705","ACOT8; DCN"
"706","ACOT8; DOCK6"
"707","ACOT8; EGR1"
"708","ACOT8; IQSEC1"
"709","ACOT8; LIFR"
"710","ACOT8; MEF2D"
"711","ACOT8; PALM2"
"712","ACOT8; PEX2"
"713","ACOT8; PTBP1"
"714","ACOT8; RXRB"
"715","ACOT8; ZBTB22"
"716","ACOT9; CCDC107"
"717","ACOT9; DUSP6"
"718","ACOT9; EHD3"
"719","ACOT9; GADD45B"
"720","ACOT9; MEPCE"
"721","ACOT9; RING1"
"722","ACOT9; RNF125"
"723","ACOT9; TDO2"
"724","ACOT9; TOMM40L"
"725","ACP1; CPEB3"
"726","ACP1; DHPS"
"727","ACP1; IL1RAP"
"728","ACP1; MLEC"
"729","ACP1; PTCD1"
"730","ACP1; STOML1"
"731","ACP1; ZFP1"
"732","ACP1; ZNF706"
"733","ACP6; CXCL14"
"734","ACP6; DAP3"
"735","ACP6; EHD3"
"736","ACP6; EIF2B4"
"737","ACP6; MFSD2A"
"738","ACP6; NAA20"
"739","ACP6; NSMCE2"
"740","ACP6; NTF3"
"741","ACP6; PTBP1"
"742","ACP6; RRP1"
"743","ACP6; TRMT112"
"744","ACP6; VIPR1"
"745","ACSL1; CYP26A1"
"746","ACSL1; LIFR"
"747","ACSM5; MCRS1"
"748","ACSM5; PTGES3"
"749","ACSM5; TTC36"
"750","ACTL6A; ADRA2B"
"751","ACTL6A; BOLA3"
"752","ACTL6A; C19orf25"
"753","ACTL6A; CAMLG"
"754","ACTL6A; CCBE1"
"755","ACTL6A; CCDC107"
"756","ACTL6A; CFP"
"757","ACTL6A; CXCL12"
"758","ACTL6A; DBH"
"759","ACTL6A; DCN"
"760","ACTL6A; FOSB"
"761","ACTL6A; GPR137"
"762","ACTL6A; KEAP1"
"763","ACTL6A; MEPCE"
"764","ACTL6A; MRPL22"
"765","ACTL6A; OXA1L"
"766","ACTL6A; PLVAP"
"767","ACTL6A; RRNAD1"
"768","ACTL6A; SHARPIN"
"769","ACTL6A; TAF10"
"770","ACTL6A; TRIB1"
"771","ACTL6A; ZFP36"
"772","ACTN4; ATG12"
"773","ACTN4; C21orf91"
"774","ACTN4; CHCHD4"
"775","ACTN4; CTSA"
"776","ACTN4; DRAP1"
"777","ACTN4; EIF2B4"
"778","ACTN4; FLAD1"
"779","ACTN4; FOSB"
"780","ACTN4; GADD45B"
"781","ACTN4; GPR137"
"782","ACTN4; KCNN2"
"783","ACTN4; MEPCE"
"784","ACTN4; OIT3"
"785","ACTN4; PPP2R5A"
"786","ACTN4; RING1"
"787","ACTN4; RRNAD1"
"788","ACTN4; SLC25A39"
"789","ACTN4; SLC26A6"
"790","ACTN4; TDO2"
"791","ACTN4; TOMM40L"
"792","ACTN4; TRIB1"
"793","ACTN4; USF1"
"794","ACTN4; ZNF706"
"795","ACTR10; QARS"
"796","ACTR10; TRMT112"
"797","ACTR1A; ATG12"
"798","ACTR1A; CRELD1"
"799","ACTR1A; DCN"
"800","ACTR1A; DUSP6"
"801","ACTR1A; FOS"
"802","ACTR1A; GPM6A"
"803","ACTR1A; IGFALS"
"804","ACTR1A; KCNN2"
"805","ACTR1A; LIFR"
"806","ACTR1A; LMAN2"
"807","ACTR1A; MLEC"
"808","ACTR1A; NCKIPSD"
"809","ACTR1A; OIT3"
"810","ACTR1A; RRNAD1"
"811","ACTR1A; TSC2"
"812","ACTR1A; UBA5"
"813","ACTR1B; ADCK1"
"814","ACTR1B; ATG12"
"815","ACTR1B; BAP1"
"816","ACTR1B; C15orf61"
"817","ACTR1B; C19orf25"
"818","ACTR1B; CAMLG"
"819","ACTR1B; CCBE1"
"820","ACTR1B; CCDC107"
"821","ACTR1B; CMC1"
"822","ACTR1B; CTSA"
"823","ACTR1B; CXCL14"
"824","ACTR1B; CYB5R1"
"825","ACTR1B; DUSP6"
"826","ACTR1B; HEMK1"
"827","ACTR1B; KCNN2"
"828","ACTR1B; LMAN2"
"829","ACTR1B; MFSD2A"
"830","ACTR1B; NAA20"
"831","ACTR1B; NDST3"
"832","ACTR1B; PEX2"
"833","ACTR1B; PLOD3"
"834","ACTR1B; PPIB"
"835","ACTR1B; PPP2R5A"
"836","ACTR1B; PTCD1"
"837","ACTR1B; PVALB"
"838","ACTR1B; RPUSD2"
"839","ACTR1B; RRNAD1"
"840","ACTR1B; TAZ"
"841","ACTR1B; TDO2"
"842","ACTR1B; TRMT112"
"843","ACTR1B; USF1"
"844","ACTR1B; VIPR1"
"845","ACTR1B; ZFP36"
"846","ACTR3B; ABCB8"
"847","ACTR3B; ATG12"
"848","ACTR3B; CHRM2"
"849","ACTR3B; CLPTM1"
"850","ACTR3B; COPS5"
"851","ACTR3B; CXorf36"
"852","ACTR3B; DCN"
"853","ACTR3B; GMPPB"
"854","ACTR3B; IL1RAP"
"855","ACTR3B; IPO9"
"856","ACTR3B; MAST3"
"857","ACTR3B; MEN1"
"858","ACTR3B; MOGAT2"
"859","ACTR3B; MRPL22"
"860","ACTR3B; PTH1R"
"861","ACTR3B; SKP1"
"862","ACTR3B; TMEM199"
"863","ACTR3B; TTC1"
"864","ACTR5; ADRA2B"
"865","ACTR5; C19orf25"
"866","ACTR5; CCBE1"
"867","ACTR5; CPEB3"
"868","ACTR5; CXCL12"
"869","ACTR5; CXCL14"
"870","ACTR5; DBH"
"871","ACTR5; DCN"
"872","ACTR5; EGR1"
"873","ACTR5; EGR2"
"874","ACTR5; EPHX2"
"875","ACTR5; FOS"
"876","ACTR5; FOSB"
"877","ACTR5; GMPPA"
"878","ACTR5; GPM6A"
"879","ACTR5; KCNN2"
"880","ACTR5; LIFR"
"881","ACTR5; MASP1"
"882","ACTR5; MLEC"
"883","ACTR5; PEX2"
"884","ACTR5; PTH1R"
"885","ACTR5; SLC25A3"
"886","ACTR5; TYK2"
"887","ACTR5; UBA5"
"888","ACTR5; VIPR1"
"889","ACTR8; ADRA2B"
"890","ACTR8; CCDC159"
"891","ACTR8; CXCL12"
"892","ACTR8; CXorf36"
"893","ACTR8; DBH"
"894","ACTR8; DCAF8"
"895","ACTR8; IMMP1L"
"896","ACTR8; LIFR"
"897","ACTR8; N4BP2L1"
"898","ACTR8; NTF3"
"899","ACTR8; RNF125"
"900","ACVR1C; CXCL12"
"901","ACVR1C; EIF2B4"
"902","ACVR1C; PLVAP"
